205.000,151.000,222.000,151.000,222.000,201.000,205.000,201.000
203.508,150.588,220.168,150.588,220.168,199.588,203.508,199.588
202.491,149.835,219.067,149.835,219.067,198.590,202.491,198.590
201.894,148.713,218.637,148.713,218.637,197.955,201.894,197.955
201.894,148.713,218.637,148.713,218.637,197.955,201.894,197.955
200.270,149.456,217.096,149.456,217.096,198.945,200.270,198.945
199.612,148.290,216.606,148.290,216.606,198.274,199.612,198.274
196.234,149.773,213.398,149.773,213.398,200.256,196.234,200.256
194.676,147.287,212.184,147.287,212.184,198.780,194.676,198.780
192.978,147.437,210.836,147.437,210.836,199.960,192.978,199.960
191.134,145.364,209.081,145.364,209.081,198.150,191.134,198.150
190.207,143.980,208.334,143.980,208.334,197.293,190.207,197.293
188.305,142.540,206.250,142.540,206.250,195.320,188.305,195.320
186.423,143.253,204.458,143.253,204.458,196.297,186.423,196.297
184.518,141.131,202.643,141.131,202.643,194.441,184.518,194.441
183.497,142.543,201.803,142.543,201.803,196.385,183.497,196.385
182.437,141.073,200.927,141.073,200.927,195.454,182.437,195.454
183.133,140.942,201.993,140.942,201.993,196.411,183.133,196.411
181.302,139.533,199.973,139.533,199.973,194.447,181.302,194.447
180.395,138.835,198.973,138.835,198.973,193.475,180.395,193.475
179.638,138.909,197.844,138.909,197.844,192.455,179.638,192.455
177.841,137.520,195.865,137.520,195.865,190.531,177.841,190.531
176.952,136.832,194.886,136.832,194.886,189.578,176.952,189.578
176.952,136.832,194.886,136.832,194.886,189.578,176.952,189.578
176.067,136.148,193.911,136.148,193.911,188.630,176.067,188.630
175.187,138.247,192.942,138.247,192.942,190.467,175.187,190.467
175.187,138.247,192.942,138.247,192.942,190.467,175.187,190.467
174.407,138.206,191.807,138.206,191.807,189.381,174.407,189.381
172.663,136.824,189.889,136.824,189.889,187.488,172.663,187.488
169.966,134.127,187.192,134.127,187.192,184.791,169.966,184.791
168.942,132.745,186.340,132.745,186.340,183.915,168.942,183.915
169.543,132.621,187.289,132.621,187.289,184.815,169.543,184.815
168.695,131.958,186.352,131.958,186.352,183.891,168.695,183.891
167.852,131.298,185.421,131.298,185.421,182.972,167.852,182.972
167.013,130.642,184.494,130.642,184.494,182.057,167.013,182.057
166.354,130.711,183.486,130.711,183.486,181.098,166.354,181.098
166.354,130.711,183.486,130.711,183.486,181.098,166.354,181.098
166.946,130.590,184.420,130.590,184.420,181.984,166.946,181.984
165.276,129.284,182.576,129.284,182.576,180.164,165.276,180.164
165.276,129.284,182.576,129.284,182.576,180.164,165.276,180.164
164.450,125.943,181.663,125.943,181.663,176.568,164.450,176.568
165.272,126.572,182.571,126.572,182.571,177.451,165.272,177.451
163.377,124.483,180.762,124.483,180.762,175.617,163.377,175.617
162.560,123.861,179.858,123.861,179.858,174.739,162.560,174.739
161.450,122.364,178.922,122.364,178.922,173.751,161.450,173.751
159.836,123.849,177.132,123.849,177.132,174.721,159.836,174.721
160.635,124.468,178.018,124.468,178.018,175.595,160.635,175.595
159.832,123.845,177.128,123.845,177.128,174.717,159.832,174.717
158.233,122.607,175.357,122.607,175.357,172.970,158.233,172.970
156.330,120.526,173.539,120.526,173.539,171.140,156.330,171.140
154.767,121.988,171.804,121.988,171.804,172.096,154.767,172.096
153.621,120.514,170.828,120.514,170.828,171.123,153.621,171.123
151.682,118.409,168.975,118.409,168.975,169.271,151.682,169.271
151.301,118.694,168.249,118.694,168.249,168.539,151.301,168.539
150.134,117.201,167.251,117.201,167.251,167.545,150.134,167.545
150.134,117.201,167.251,117.201,167.251,167.545,150.134,167.545
148.633,118.682,165.579,118.682,165.579,168.522,148.633,168.522
145.250,118.089,162.111,118.089,162.111,167.680,145.250,167.680
146.411,119.521,163.103,119.521,163.103,168.616,146.411,168.616
143.483,119.692,159.841,119.692,159.841,167.805,143.483,167.805
141.128,119.473,157.814,119.473,157.814,168.549,141.128,168.549
138.516,116.861,155.201,116.861,155.201,165.937,138.516,165.937
136.583,114.820,153.352,114.820,153.352,164.141,136.583,164.141
137.816,116.271,154.418,116.271,154.418,165.099,137.816,165.099
